node1	label	node2
P2020	data_type	external-identifier
P2021	data_type	quantity
P2024	data_type	external-identifier
P2025	data_type	external-identifier
P2026	data_type	external-identifier
P2027	data_type	external-identifier
P2028	data_type	external-identifier
P2029	data_type	external-identifier
P2030	data_type	external-identifier
P2031	data_type	time
P2032	data_type	time
P2033	data_type	item
P2034	data_type	external-identifier
P2036	data_type	external-identifier
P2037	data_type	external-identifier
P2038	data_type	external-identifier
P2040	data_type	external-identifier
P2041	data_type	external-identifier
P2042	data_type	external-identifier
P2043	data_type	quantity
P2044	data_type	quantity
P2045	data_type	quantity
P2046	data_type	quantity
P2047	data_type	quantity
P2048	data_type	quantity
P2049	data_type	quantity
P2050	data_type	quantity
P2051	data_type	quantity
P2052	data_type	quantity
P2053	data_type	quantity
P2054	data_type	quantity
P2055	data_type	quantity
P2056	data_type	quantity
P2057	data_type	external-identifier
P2058	data_type	item
P2060	data_type	quantity
P2061	data_type	item
P2062	data_type	external-identifier
P2063	data_type	external-identifier
P2064	data_type	external-identifier
P2065	data_type	external-identifier
P2066	data_type	quantity
P2067	data_type	quantity
P2068	data_type	quantity
P2069	data_type	quantity
P2070	data_type	external-identifier
P2071	data_type	external-identifier
P2072	data_type	external-identifier
P2073	data_type	quantity
P2074	data_type	external-identifier
P2075	data_type	quantity
P2076	data_type	quantity
P2077	data_type	quantity
P2078	data_type	url
P2079	data_type	item
P2080	data_type	external-identifier
P2081	data_type	external-identifier
P2082	data_type	external-identifier
P2083	data_type	external-identifier
P2084	data_type	external-identifier
P2085	data_type	external-identifier
P2086	data_type	external-identifier
P2087	data_type	external-identifier
P2088	data_type	external-identifier
P2089	data_type	external-identifier
P2090	data_type	external-identifier
P2091	data_type	external-identifier
P2092	data_type	external-identifier
P2093	data_type	string
P2094	data_type	item
P2095	data_type	item
P2096	data_type	monolingualtext
P2097	data_type	quantity
P2098	data_type	item
P2099	data_type	external-identifier
P2100	data_type	external-identifier
P2101	data_type	quantity
P2102	data_type	quantity
P2103	data_type	quantity
P2105	data_type	quantity
P2106	data_type	external-identifier
P2107	data_type	quantity
P2108	data_type	external-identifier
P2109	data_type	quantity
P2112	data_type	quantity
P2113	data_type	quantity
P2114	data_type	quantity
P2115	data_type	external-identifier
P2116	data_type	quantity
P2117	data_type	quantity
P2118	data_type	quantity
P2119	data_type	quantity
P2120	data_type	quantity
P2121	data_type	quantity
P2123	data_type	external-identifier
P2124	data_type	quantity
P2125	data_type	string
P2126	data_type	string
P2127	data_type	item
P2128	data_type	quantity
P2129	data_type	quantity
P2130	data_type	quantity
P2131	data_type	quantity
P2132	data_type	quantity
P2133	data_type	quantity
P2134	data_type	quantity
P2135	data_type	quantity
P2136	data_type	quantity
P2137	data_type	quantity
P2138	data_type	quantity
P2139	data_type	quantity
P2140	data_type	quantity
P2141	data_type	quantity
P2142	data_type	quantity
P2143	data_type	quantity
P2144	data_type	quantity
P2145	data_type	quantity
P2146	data_type	quantity
P2147	data_type	quantity
P2148	data_type	quantity
P2149	data_type	quantity
P2150	data_type	quantity
P2151	data_type	quantity
P2152	data_type	item
P2153	data_type	external-identifier
P2154	data_type	quantity
P2155	data_type	item
P2156	data_type	item
P2158	data_type	external-identifier
P2159	data_type	item
P2160	data_type	quantity
P2161	data_type	external-identifier
P2162	data_type	external-identifier
P2163	data_type	external-identifier
P2164	data_type	external-identifier
P2165	data_type	external-identifier
P2166	data_type	external-identifier
P2167	data_type	external-identifier
P2168	data_type	external-identifier
P2169	data_type	external-identifier
P2170	data_type	external-identifier
P2171	data_type	external-identifier
P2172	data_type	external-identifier
P2173	data_type	external-identifier
P2174	data_type	external-identifier
P2175	data_type	item
P2176	data_type	item
P2177	data_type	quantity
P2178	data_type	item
P2179	data_type	string
P2180	data_type	external-identifier
P2181	data_type	external-identifier
P2182	data_type	external-identifier
P2183	data_type	string
P2184	data_type	item
P2185	data_type	external-identifier
P2186	data_type	external-identifier
